year,spring,summer,autumn,winter
1999,18.51074912240169,28.35005261898263,8.190869880596246,2.312946194150604
2000,-6.597168704299924,31.830754778765662,24.4472182232054,-1.3680105432626275
2001,23.68395925515573,27.76755382319853,12.64387324184071,-0.1193991763567585
2002,17.89389423314568,22.61879823409088,16.497819454857705,-6.598368528171809
2003,18.39340677968827,31.265747730260426,24.125076788710647,1.5274925936738466
2004,,27.86873504604519,15.860215681969416,-5.081414152647324
2005,18.819965336970256,27.05970062813291,12.546015122721723,-2.985559789362587
2006,25.059219815138004,27.84962970520877,17.29776871716178,-0.615358932779388
2007,21.064099002397867,29.126255377951644,20.259729435544884,7.300056386700953
2008,21.9811781708358,30.460622373222886,18.39087273559658,-0.742434321669702
2009,21.544015242974936,28.20301117658687,13.406753738452895,-7.114075384939625
2010,8.692611247291802,32.17963108935036,16.51774329245265,3.9790312839302
2011,18.16392515309864,30.33316479946066,20.639756123863386,2.721457106435337
2012,21.65070176755044,33.8753249142724,22.426785949337702,
2013,25.078332186486115,30.08777735447213,16.952586886529883,2.2655491798362832
2014,23.857086204592783,29.28345527686925,15.828750145073306,5.63659738876124
2015,20.789344664342966,29.008480366510263,24.94185446161291,4.342634729646332
2016,19.02322856414459,27.40978834737129,18.85352399716368,2.3334171246534288
2017,21.1240688790486,26.66743951948708,15.708445297463689,3.9316183686644735
2018,21.87240219116222,29.528114247435592,13.018756586256524,1.7667914039861263
2019,18.950959667748144,30.813913931694444,25.948668419921244,4.3751184120338165
2020,21.30331488572316,30.163974138134023,21.763954063038703,0.7085294010434771
2021,18.49877816799354,30.726348999485147,15.957272084311796,2.5552245314080237
2022,19.50252052283718,30.87358327399077,17.679493908321398,2.745601975552459
2023,19.7088318002937,31.859541307700027,13.311227519528424,3.1417929028491973
